Film ,Lead Studio,Rotten Tomatoes,Audience Score,Story,Genre,Number of Theatres in US Opening Weekend,Box Office Average per US Cinema (Opening Weekend),Domestic Gross,Foreign Gross,Worldwide Gross,Budget,Profitability,Opening Weekend,Year
,,,,,,,,,,,,,,
The Son Of No One,Independent,18,61,Discovery,Thriller,,,0.03,,0.03,15.00,0.20%,0.02,2011
Waiting For Forever,Independent,6,53,Love,Romance,3,2972,0.03,,0.03,5.00,0.50%,0.01,2011
All Good Things,Independent,33,64,The Riddle,Drama,2,,0.58,0.06,0.64,20.00,3.20%,0.04,2010
Machine Gun Preacher,Lionsgate,29,71,Transformation,Action,,,0.54,0.57,1.10,30.00,3.68%,0.05,2011
Hesher,Independent,54,68,Wretched Excess,Drama,,,0.38,,0.38,7.00,5.46%,0.13,2011
The Greatest,Independent,52,39,Discovery,Drama,,,0.11,0.30,0.41,6.00,6.83%,0.30,2010
Trespass,Independent,11,24,Escape,Thriller,,,0.02,3.10,3.12,35.00,8.93%,0.02,2011
Vanishing on 7th Street,Independent,52,62,Monster Force,Horror,,,0.02,1.05,1.07,10.00,10.67%,0.00,2011
The Big Year,Independent,38,62,Transformation,Comedy,2150,1513,7.17,0.24,7.41,41.00,18.07%,3.25,2011
Miracle at St. Anna,,34,68,Quest,Action,1185,2935,7.92,1.20,9.11,45.00,20.24%,3.50,2008
Dylan Dog: Dead of Night,Independent,6,28,Monster Force,Horror,,,1.19,3.45,4.63,20.00,23.17%,0.75,2011
Jonah Hex,Warner Bros.,13,24,Revenge,Action,2825,1904,10.55,0.36,10.90,47.00,23.19%,5.40,2010
Street Fighter: The Legend of Chun-Li ,,16,28,Revenge,Action,1136,4156,9.14,3.20,12.34,50.00,25.00%,4.70,2009
Miss Pettigrew Lives for a Day,Independent,78,70,Love,Comedy,535,4655,12.31,2.86,15.17,60.00,25.28%,2.49,2008
Body of Lies,Warner Bros.,53,65,Temptation,Action,2710,4754,39.19,75.70,17.50,67.50,25.93%,12.90,2008
Mars Needs Moms,Disney,36,43,Rescue,Animation,3117,2218,21.39,17.60,38.99,150.00,25.99%,6.91,2011
The Express,Independent,62,73,Maturation,Drama,2808,1625,9.79,0.01,9.81,37.50,26.16%,4.56,2008
Punisher: War Zone,Lionsgate,27,47,Revenge,Action,2508,1703,8.05,0.15,8.19,30.00,27.30%,4.30,2008
The Killer Inside Me,Independent,56,41,The Riddle,Crime,,,0.22,3.36,3.58,13.00,27.54%,11.10,2010
Red State,Independent,57,59,Escape,Horror,,,1.10,,1.10,4.00,27.60%,,2011
Take Me Home Tonight,Relativity,28,46,Discovery,Comedy,2003,1730,6.93,,6.93,25.00,27.71%,3.46,2011
What Happens in Vegas,Fox,28,72,Love,Comedy,3215,6274,80.28,,219.30,150.00,28.93%,20.17,2008
The Beaver,Summit Entertainment,62,57,Transformation,Drama,22,4890,0.97,5.40,6.37,21.00,30.33%,0.11,2011
City of Ember,Independent,52,48,Escape,Adventure,,,7.84,3.94,11.78,38.00,31.00%,3.13,2008
Take Shelter,Independent,92,85,Sacrifice,Drama,,,1.57,,1.57,5.00,31.46%,0.05,2011
The Company Men,Weinstein Company,66,55,Discovery,Drama,106,6111,4.40,0.40,4.80,15.00,32.00%,0.60,2011
Solitary Man,Independent,81,47,Wretched Excess,Comedy,4,23734,4.36,0.70,5.06,15.00,33.73%,0.09,2010
Taking Woodstock ,,48,48,Quest,Comedy,1393,2482,7.50,2.50,9.90,29.00,34.00%,3.50,2009
Whiteout ,,7,28,Pursuit,Action,2745,1791,10.30,1.90,12.20,35.00,35.00%,4.90,2009
College Road Trip,,13,56,Comedy,Adventure,2706,5026,45.61,,51.50,140.00,36.79%,13.60,2008
Nine ,,37,40,Discovery,Drama,1412,3862,19.20,10.30,29.50,80.00,37.00%,5.45,2009
Stone,Independent,49,20,Rivalry,Drama,6,12628,1.81,6.59,8.40,22.00,38.18%,0.08,2010
The Longshots,Independent,39,39,Quest,Comedy,2089,1953,11.51,0.23,11.74,30.00,39.14%,4.00,2008
Imagine That ,,38,44,Comedy,Comedy,3008,1830,16.12,6.86,22.99,55.00,42.00%,5.50,2009
Post Grad ,,7,31,Maturation,Comedy,1959,1354,6.38,0.00,6.38,15.00,43.00%,2.60,2009
Pandorum ,,28,49,Monster Force,Action,2506,1765,10.30,6.70,17.00,40.00,43.00%,4.40,2009
Stop-Loss,Paramount,65,27,Tragedy,Drama,1291,3528,10.92,0.26,11.18,25.00,44.70%,4.56,2008
A Dangerous Method,Independent,79,89,Love,Drama,,,0.54,8.44,8.97,20.00,44.86%,0.17,2011
The Runaways,Independent,68,56,Maturation,Biography,244,3300,3.57,1.11,4.68,10.00,46.80%,0.80,2010
Anonymous,Relativity Media,46,66,Tragedy,Drama,265,3856,4.46,9.73,14.19,30.00,47.30%,1.02,2011
The Rum Diary,Independent,50,48,Discovery,Drama,2273,2259,13.07,8.48,21.55,45.00,47.89%,5.14,2011
Grindhouse,The Weinstein Company,82,86,Pursuit,Action,2624,4419,25.04,0.38,25.42,53.00,47.97%,11.60,2007
Amelia ,,21,35,Quest,Adventure,820,4761,14.20,5.00,19.20,40.00,48.00%,3.90,2009
"Extraordinary Measures	",CBS,27,55,Underdog,Drama,2549,2359,12.07,3.07,15.13,31.00,48.81%,6.00,2010
Away We Go ,,67,74,Discovery,Comedy,4,32603,9.50,0.77,10.20,21.00,49.00%,0.13,2009
Astro Boy ,,49,53,Quest,Animation,3014,2224,19.55,12.04,31.59,65.00,49.00%,6.70,2009
Your Highness,Universal,26,36,Comedy,Comedy,2769,3380,21.60,3.26,24.86,49.90,49.81%,9.36,2011
The Invasion,Warner Bros.,19,43,Monster Force,Horror,2776,2143,15.07,25.10,40.17,80.00,50.21%,5.60,2007
Everything Must Go,Reliance Entertainment,74,53,Discovery,Drama,,,2.71,,2.71,5.00,54.22%,0.79,2011
Conan the Barbarian,Lionsgate,22,34,Quest,Action,3015,3324,21.30,27.50,48.80,90.00,54.22%,10.02,2011
Sex Drive,Summit,46,61,Journey and Return,Adventure,2421,1490,8.40,2.01,10.41,19.00,54.79%,3.61,2008
The Conspirator,Independent,56,65,Underdog,Drama,707,4960,11.54,2.67,14.21,25.00,56.84%,3.51,2011
The Road ,The Weinstein Company,75,65,Quest,Adventure,111,13534,7.90,6.50,14.30,25.00,57.00%,1.50,2009
Repo Men,Universal,22,43,Rescue,Action,2521,2430,13.79,4.62,18.41,32.00,57.53%,6.10,2010
Walk Hard: The Dewey Cox Story,Sony,75,55,Comedy,Comedy,2650,1575,18.32,2.26,20.58,35.00,58.79%,4.80,2007
Arthur Christmas,Aardman Animations,92,82,Journey and Return,Animation,3376,3537,33.70,57.50,91.20,150.00,60.80%,12.07,2011
Bandslam ,,79,60,Maturation,Comedy,2121,1052,5.20,6.90,12.10,20.00,61.00%,2.20,2009
Never Let Me Go,Independent,70,70,Tragedy,Drama,4,,2.43,7.30,9.45,15.00,63.00%,0.11,2010
The Soloist ,,56,59,Quest,Drama,2024,4801,31.70,6.20,37.92,60.00,63.00%,9.70,2009
The Joneses,Independent,61,47,Temptation,Comedy,,,1.48,0.49,6.41,10.00,64.10%,0.51,2010
Drive Angry,Independent,45,38,Rescue,Action,2990,2265,10.72,18.21,28.93,45.00,64.29%,5.19,2011
Across the Universe,Independent,54,84,Love,Romance,954,4009,24.34,5.02,29.37,45.00,65.26%,3.80,2007
Doomsday,Relativity Media,48,47,Quest,Action,1936,2544,11.01,11.20,21.60,33.00,65.45%,4.90,2008
The Love Guru,Paramount,14,38,Comedy,Comedy,3505,15810,32.20,8.63,40.80,62.00,65.81%,13.91,2008
Everybody's Fine ,,46,55,Discovery,Drama,2133,1806,9.20,4.70,13.90,21.00,66.00%,3.90,2009
Shoot 'Em Up,Warner Bros.,67,66,Pursuit,Action,2108,2711,12.81,13.91,26.72,39.00,68.51%,5.70,2007
Cedar Rapids,20th Century Fox,86,61,Maturation,Comedy,,,6.86,,6.86,10.00,68.61%,0.30,2011
Land of the Lost ,,26,38,Journey and Return,Drama,3521,5350,1.50,66.40,68.80,100.00,69.00%,18.80,2009
Mother and Child,Independent,79,61,Transformation,Drama,4,,1.11,3.76,4.87,7.00,69.57%,0.43,2010
Leatherheads,Universal,52,41,Rivalry,Comedy,2769,4580,31.23,9.93,41.00,58.00,70.69%,12.70,2008
Cirque du Freak: The Vampire's Assistant ,,38,50,Discovery,Action,2754,2285,13.90,14.30,28.20,40.00,71.00%,6.30,2009
The Thing,Universal,36,52,Monster Force,Horror,2996,2835,16.93,10.50,27.43,38.00,72.18%,8.49,2011
"Pirate Radio (The Boat that Rocked, UK)",,60,72,Comedy,Comedy,882,3293,33.30,2.20,36.30,50.00,73.00%,2.90,2009
Cadillac Records,,67,64,Rags to Riches,Biography,687,5015,8.14,,8.88,12.00,74.00%,3.40,2008
Doubt,Independent,78,75,The Riddle,Drama,,,18.73,17.46,18.70,25.00,74.80%,5.30,2008
Killer Elite,Independent,25,48,Rivalry,Action,2986,3132,25.12,27.84,52.96,70.00,75.66%,9.35,2011
Dream House,Morgan Creek Productions,7,38,The Riddle,Horror,2661,3055,21.30,17.20,38.50,50.00,77.00%,8.13,2011
Conviction,Independent,68,71,Rescue,Biography,672,2424,6.79,2.92,9.71,12.50,77.68%,1.62,2010
Speed Racer,Warner Bros.,38,61,Quest,Action,3606,5174,43.95,50.00,93.40,120.00,77.83%,18.60,2008
Happy Feet 2,Village Roadshow Pictures,41,59,Journey and Return,Animation,3606,5889,57.31,49.20,106.51,135.00,78.89%,21.24,2011
Scott Pilgrim vs. the World,Universal,81,83,Underdog,Action,2818,3765,31.52,16.05,47.58,60.00,79.30%,10.60,2010
My Soul to Take,Relativity Media,9,29,Monster Force,Horror,2572,4605,14.74,5.09,19.83,25.00,79.32%,6.80,2010
Pride & Glory,Warner Bros.,34,54,Temptation,Crime,2585,2423,15.74,15.41,23.80,30.00,79.33%,6.26,2008
Armored ,,40,34,Temptation,Action,1915,3400,16.00,0.00,16.00,20.00,80.00%,6.50,2009
Happily N'Ever After,Lionsgate,4,43,Maturation,Animation,2381,2775,15.59,22.50,38.08,47.00,81.03%,6.60,2007
Did You Hear About the Morgans? ,,12,31,Comedy,Comedy,2718,2434,6.10,41.30,47.50,58.00,82.00%,6.60,2009
My Week with Marilyn,The Weinstein Company,83,84,Love,Drama,247,7174,5.31,2.95,8.26,10.00,82.58%,1.75,2011
Meet Dave,Fox,19,42,Fish Out Of Water,Adventure,3011,1744,11.80,38.85,50.50,60.00,84.17%,5.25,2008
Where the Wild Things Are ,Warner Bros.,73,59,Journey and Return,Adventure,3735,8754,63.40,16.30,85.30,100.00,85.00%,32.70,2009
The Pirates Who Don't Do Anything,,41,61,Fish Out Of Water,Animation,,,12.73,0.17,12.90,15.00,85.98%,4.25,2008
12 Rounds ,,30,52,Rescue,Action,2331,2286,16.00,1.10,17.10,20.00,86.00%,5.30,2009
I Love You Beth Cooper ,,14,38,Comedy,Comedy,1856,2648,14.80,0.94,15.70,18.00,87.00%,4.90,2009
Bangkok Dangerous,,9,33,Pursuit,Action,2650,2937,15.30,,39.40,45.00,87.56%,7.80,2008
Invictus,Warner Bros.,75,74,Underdog,Biography,2125,4052,38.10,11.60,53.90,60.00,90.00%,8.60,2009
The Ruins,Paramount,46,32,Rescue,Horror,2812,2846,17.43,5.30,22.60,25.00,90.40%,8.00,2008
Rachel Getting Married,Independent,85,61,Love,Drama,,,10.33,0.53,10.86,12.00,90.47%,0.29,2008
Baby Mama,Independent,63,59,Discovery,Comedy,2543,6845,60.32,3.70,63.90,70.00,91.29%,17.41,2008
Igor,Independent,36,42,Temptation,Animation,2339,,19.44,11.22,27.60,30.00,92.00%,7.80,2008
Warrior,Lionsgate,83,93,Rivalry,Action,1869,2805,13.66,9.40,23.06,25.00,92.23%,5.24,2011
Fired Up! ,,22,52,Comedy,Comedy,1810,3030,17.20,1.40,18.60,20.00,93.00%,5.50,2009
The Wolfman,Universal,33,38,Monster Force,Drama,3222,9770,61.98,77.81,139.79,150.00,93.19%,31.50,2010
MacGruber,Independent,47,33,Comedy,Action,2551,1585,8.53,0.80,9.32,10.00,93.20%,4.00,2010
Green Zone,Universal,53,60,Quest,Action,3003,4765,35.05,59.82,94.88,100.00,94.88%,14.30,2010
Dragon Wars (aka D-War),Mediaplex,27,44,Monster Force,Action,2277,2213,10.98,63.27,74.25,75.00,99.00%,5.00,2007
Evan Almighty,Universal,23,56,Comedy,Comedy,3604,8654,100.46,72.93,173.39,175.00,99.08%,31.20,2007
The Dilemma,Spyglass Entertainment,23,31,Comedy,Comedy,2940,6060,48.50,21.20,69.70,70.00,99.57%,17.80,2011
The Brave One,,43,65,Rivalry,Action,2755,4889,36.79,32.99,69.79,70.00,99.70%,13.50,2007
Ninja Assassin ,,25,57,Revenge,Action,2503,5320,27.70,21.60,49.80,50.00,100.00%,13.30,2009
Year One ,,14,31,Quest,Adventure,3022,6489,32.40,26.20,60.20,60.00,100.00%,19.60,2009
J.Edgar,Warner Bros,42,84,Wretched Excess,Drama,1910,5873,35.06,,35.06,35.00,100.16%,11.22,2011
Edge of Darkness,Warner Bros.,55,56,Revenge,Crime,3066,5615,43.31,37.81,81.12,80.00,101.40%,17.20,2010
From Paris with Love,Independent,38,57,Pursuit,Action,2722,2997,24.08,28.72,52.80,52.00,101.54%,8.20,2010
Burlesque,Paramount,36,66,Rags to Riches,Drama,3037,3934,38.24,17.84,56.08,55.00,101.96%,11.95,2010
Funny People ,,68,58,Transformation,Comedy,,,22.50,47.30,71.50,70.00,102.00%,22.70,2009
"Furry Vengeance	",Summit,8,36,Comedy,Comedy,2997,2211,17.63,18.34,35.97,35.00,102.77%,6.60,2010
"Faster	",CBS,41,50,Revenge,Action,2454,3873,22.94,1.97,24.91,24.00,103.79%,8.52,2010
Inkheart ,Warner Bros.,39,51,Quest,Adventure,2655,2862,43.30,16.90,62.50,60.00,104.00%,7.60,2009
"Charlie St. Cloud	",Universal,27,62,Discovery,Fantasy,2718,4555,31.16,14.93,46.09,44.00,104.75%,12.40,2010
The Box ,,46,27,Temptation,Drama,2635,2873,15.10,11.30,26.34,25.00,105.00%,7.60,2009
Next,Paramount,29,59,Pursuit,Thriller,2725,2617,18.21,55.33,73.54,70.00,105.06%,7.10,2007
My Life in Ruins ,,9,43,Comedy,Comedy,1164,2769,8.67,9.34,18.01,17.00,106.00%,3.20,2009
Jack and Jill,Happy Madison,4,59,Comedy,Comedy,3438,7273,68.91,15.00,83.91,79.00,106.22%,25.00,2011
Bedtime Stories,Disney,25,63,Rivalry,Comedy,3681,7457,85.35,102.77,85.40,80.00,106.75%,27.50,2008
Whip It ,,84,73,Maturation,Drama,1721,2702,13.00,3.00,16.00,15.00,107.00%,4.70,2009
Fantastic Mr. Fox ,Fox,93,80,Rivalry,Animation,2033,3426,20.50,21.80,42.78,40.00,107.00%,7.00,2009
Cowboys and Aliens,Universal,44,50,Monster Force,Action,3750,9715,100.24,74.58,174.82,163.00,107.25%,36.43,2011
88 Minutes,,5,51,The Riddle,Drama,2168,3209,16.93,,32.30,30.00,107.67%,7.00,2008
Sorority Row ,,22,38,Pursuit,Horror,2665,1899,11.97,1.60,13.56,12.50,108.00%,5.10,2009
The Kingdom,,52,78,Quest,Action,2793,6135,47.54,39.07,86.61,80.00,108.26%,17.10,2007
Case 39,Independent,23,42,Monster Force,Horror,2211,2420,13.26,14.93,28.19,26.00,108.42%,5.40,2010
The Eagle,Universal,39,43,Quest,Action,2296,3782,19.49,7.63,27.12,25.00,108.48%,8.68,2011
Youth in Revolt,The Weinstein Company,68,52,Love,Comedy,1873,3678,15.28,4.34,19.62,18.00,109.00%,6.90,2010
Superhero Movie,The Weinstein Company,15,36,Comedy,Comedy,2960,3212,25.87,45.35,71.10,65.00,109.38%,9.51,2008
Sucker Punch,Legendary Pictures,23,48,Quest,Action,3033,6284,36.39,53.40,89.79,82.00,109.50%,19.06,2011
Green Lantern,Warner Bros,27,48,Metamorphosis,Action,3816,13935,116.60,103.25,219.85,200.00,109.93%,53.17,2011
Winnie The Pooh,Disney,91,79,Quest,Animation,2405,3267,26.69,6.46,33.15,30.00,110.51%,7.86,2011
Death Race,Universal,42,69,Escape,Action,2532,4985,36.10,75.67,73.80,65.00,113.54%,12.62,2008
Seven Pounds,,27,77,Sacrifice,Drama,2758,5385,60.04,,61.40,54.00,113.70%,14.90,2008
Arthur,Warner Bros,26,49,Sacrifice,Comedy,3276,3731,33.04,12.70,45.74,40.00,114.34%,12.22,2011
Traitor,Liberty Starz,55,66,Pursuit,Thriller,2054,3831,23.53,4.13,25.30,22.00,115.00%,7.90,2008
Push ,,22,47,Quest,Action,2313,4358,31.70,12.60,44.40,38.00,117.00%,10.10,2009
The Losers,Warner Bros.,47,55,Revenge,Action,2936,3204,23.59,5.79,29.38,25.00,117.52%,9.40,2010
Jennifer's Body ,,42,37,Monster Force,Comedy,2702,2542,16.20,2.60,18.80,16.00,118.00%,6.90,2009
Pathfinder: Legend of the Ghost Warrior,,11,41,Rescue,Action,1720,2907,10.23,20.59,30.82,26.00,118.55%,5.00,2007
