Film ,Lead Studio,Rotten Tomatoes,Audience Score,Story,Genre,Number of Theatres in US Opening Weekend,Box Office Average per US Cinema (Opening Weekend),Domestic Gross,Foreign Gross,Worldwide Gross,Budget,Profitability,Opening Weekend,Year
,,,,,,,,,,,,,,
College Road Trip,,13,56,Comedy,Adventure,2706,5026,45.61,,51.5,140,36.79%,13.6,2008
Imagine That ,,38,44,Comedy,Comedy,3008,1830,16.12,6.86,22.99,55,42.00%,5.5,2009
Your Highness,Universal,26,36,Comedy,Comedy,2769,3380,21.6,3.26,24.86,49.9,49.81%,9.36,2011
Walk Hard: The Dewey Cox Story,Sony,75,55,Comedy,Comedy,2650,1575,18.32,2.26,20.58,35,58.79%,4.8,2007
The Love Guru,Paramount,14,38,Comedy,Comedy,3505,15810,32.2,8.63,40.8,62,65.81%,13.91,2008
"Pirate Radio (The Boat that Rocked, UK)",,60,72,Comedy,Comedy,882,3293,33.3,2.2,36.3,50,73.00%,2.9,2009
Did You Hear About the Morgans? ,,12,31,Comedy,Comedy,2718,2434,6.1,41.3,47.5,58,82.00%,6.6,2009
I Love You Beth Cooper ,,14,38,Comedy,Comedy,1856,2648,14.8,0.94,15.7,18,87.00%,4.9,2009
Fired Up! ,,22,52,Comedy,Comedy,1810,3030,17.2,1.4,18.6,20,93.00%,5.5,2009
MacGruber,Independent,47,33,Comedy,Action,2551,1585,8.53,0.8,9.32,10,93.20%,4,2010
Evan Almighty,Universal,23,56,Comedy,Comedy,3604,8654,100.46,72.93,173.39,175,99.08%,31.2,2007
The Dilemma,Spyglass Entertainment,23,31,Comedy,Comedy,2940,6060,48.5,21.2,69.7,70,99.57%,17.8,2011
"Furry Vengeance	",Summit,8,36,Comedy,Comedy,2997,2211,17.63,18.34,35.97,35,102.77%,6.6,2010
My Life in Ruins ,,9,43,Comedy,Comedy,1164,2769,8.67,9.34,18.01,17,106.00%,3.2,2009
Jack and Jill,Happy Madison,4,59,Comedy,Comedy,3438,7273,68.91,15,83.91,79,106.22%,25,2011
Superhero Movie,The Weinstein Company,15,36,Comedy,Comedy,2960,3212,25.87,45.35,71.1,65,109.38%,9.51,2008
Mad Money,Independent,22,51,Comedy,Comedy,2470,3132,20.67,5.74,26.1,22,118.64%,7.74,2008
Drillbit Taylor,Paramount,26,49,Comedy,Comedy,3056,3373,32.86,16.82,49.7,40,124.25%,10.3,2008
Dinner for Schmucks,Paramount,43,47,Comedy,Comedy,2911,8082,73.03,13.38,86.41,69,125.23%,23.5,2010
Dance Flick ,,17,35,Comedy,Action,2450,4344,25.66,6.43,32.09,25,128.00%,10.6,2009
The Pink Panther 2 ,,12,47,Comedy,Adventure,3243,3573,41.6,34.2,75.9,59,129.00%,11.6,2009
Observe and Report ,,51,40,Comedy,Comedy,2727,4040,24,0.87,24.9,18,138.00%,11,2009
